City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
Ribeira Grande,38.5167,-28.7,75.6,83,20,8.05,PT,1663704683
Saint-Philippe,-21.3585,55.7679,69.39,87,71,14.72,RE,1663705169
Punta Arenas,-53.15,-70.9167,55.51,35,75,8.05,CL,1663705044
Liku,-0.7275,119.8922,73.98,93,100,2.37,ID,1663705072
Talnakh,69.4865,88.3972,27.21,74,100,9.01,RU,1663705073
Butaritari,3.0707,172.7902,80.71,77,100,11.56,KI,1663705170
Maceió,-9.6658,-35.7353,78.24,69,0,9.22,BR,1663705074
Dikson,73.5069,80.5464,30.27,72,100,19.39,RU,1663704715
Hermanus,-34.4187,19.2345,51.8,77,0,8.63,ZA,1663705171
Busselton,-33.65,115.3333,57.83,71,3,16.13,AU,1663704978
Ushuaia,-54.8,-68.3,49.66,43,0,10.36,AR,1663705172
Qaanaaq,77.484,-69.3632,25.02,61,100,6.15,GL,1663704726
Nome,64.5011,-165.4064,43.16,81,0,8.05,US,1663705172
Beroroha,-21.6667,45.1667,72.72,54,0,1.81,MG,1663705075
Vaini,-21.2,-175.2,75.36,88,40,9.22,TO,1663705173
Hindupur,13.8289,77.4933,71.29,83,100,9.84,IN,1663705076
Jamestown,42.097,-79.2353,73.18,49,0,11.5,US,1663704713
Bluff,-46.6,168.3333,46.8,87,100,2.35,NZ,1663704714
Hilo,19.7297,-155.09,85.28,50,0,5.01,US,1663705097
Raudeberg,61.9875,5.1352,47.07,65,100,16.42,NO,1663705077
Hobart,-42.8794,147.3294,53.46,62,100,8.05,AU,1663704949
Pemangkat,1.1667,108.9667,77.11,84,100,4.16,ID,1663705077
Ardeşen,41.1911,40.9875,71.51,83,96,3.36,TR,1663705078
Fortuna,40.5982,-124.1573,73.9,58,32,4.0,US,1663704725
Albany,42.6001,-73.9662,73.36,74,47,1.99,US,1663705149
Kirovsk,48.6375,38.6428,61.79,53,87,11.95,UA,1663705079
Alenquer,-1.9417,-54.7383,99.27,26,30,6.17,BR,1663705079
New Norfolk,-42.7826,147.0587,53.1,89,97,3.06,AU,1663705176
Hamilton,39.1834,-84.5333,90.25,52,0,3.0,US,1663704947
Portoviejo,-1.05,-80.45,76.41,61,100,9.89,EC,1663705176
Jiamusi,46.8333,130.35,40.15,65,12,10.45,CN,1663705177
Cape Town,-33.9258,18.4232,64.38,67,0,9.22,ZA,1663705064
Sadon,42.8518,44.0037,59.07,72,43,7.47,RU,1663705227
Lubango,-14.9172,13.4925,64.36,41,0,3.85,AO,1663705228
Alofi,-19.0595,-169.9187,71.49,94,75,11.5,NU,1663705228
Chernyshevskiy,63.0128,112.4714,33.78,97,100,9.48,RU,1663705229
Yellowknife,62.456,-114.3525,55.56,54,8,5.01,CA,1663704684
Chokurdakh,70.6333,147.9167,31.46,90,100,15.3,RU,1663705229
Rikitea,-23.1203,-134.9692,73.17,75,0,16.15,PF,1663705230
Samarai,-10.6167,150.6667,79.99,85,100,10.69,PG,1663705230
Kapuskasing,49.4169,-82.4331,73.4,60,57,11.5,CA,1663705231
Nikolskoye,59.7035,30.7861,49.91,94,95,3.06,RU,1663705231
Ilulissat,69.2167,-51.1,37.42,93,75,8.05,GL,1663705232
Bredasdorp,-34.5322,20.0403,51.44,91,0,2.3,ZA,1663705232
Iqaluit,63.7506,-68.5145,38.93,93,100,0.0,CA,1663704735
Saldanha,-33.0117,17.9442,56.66,86,0,9.75,ZA,1663704500
East London,-33.0153,27.9116,60.17,69,51,7.25,ZA,1663704713
Castro,-24.7911,-50.0119,70.25,66,70,3.65,BR,1663705233
Bundaberg,-24.85,152.35,63.21,99,19,1.01,AU,1663705233
Lebu,-37.6167,-73.65,50.14,68,33,9.44,CL,1663705234
Ketchikan,55.3422,-131.6461,63.07,59,0,10.36,US,1663705234
Cidreira,-30.1811,-50.2056,64.58,80,97,10.02,BR,1663705235
Puerto Ayora,-0.7393,-90.3518,75.16,88,71,11.99,EC,1663704717
Carnarvon,-24.8667,113.6333,64.18,65,97,14.25,AU,1663704711
Ban Bung,18.3081,100.7044,72.84,99,100,0.38,TH,1663705236
Kavieng,-2.5744,150.7967,80.65,79,93,9.28,PG,1663705236
Barcelona,41.3888,2.159,73.33,79,20,3.44,ES,1663705131
Saskylakh,71.9167,114.0833,25.2,88,100,18.75,RU,1663705237
Vestmanna,62.1564,-7.1664,50.92,93,100,11.5,FO,1663705237
Curuguaty,-24.4694,-55.6945,74.93,70,88,2.35,PY,1663705238
Sabzawār,36.2126,57.6819,72.68,23,0,9.22,IR,1663705238
Port Alfred,-33.5906,26.891,55.18,94,15,10.16,ZA,1663704713
Tashtagol,52.7657,87.8894,43.41,82,7,1.54,RU,1663705239
Sapernoye,60.7167,29.9505,48.65,90,100,4.68,RU,1663705239
Chui,-33.6971,-53.4616,55.56,76,100,11.61,UY,1663704712
Leningradskiy,69.3833,178.4167,31.44,79,6,12.19,RU,1663704687
Ziro,27.6333,93.8333,58.71,98,100,0.83,IN,1663705240
Upernavik,72.7868,-56.1549,33.48,96,100,5.37,GL,1663705191
Tromsø,69.6496,18.957,42.82,70,75,12.66,NO,1663705241
Manyana,-23.4,21.7167,50.92,33,0,8.39,BW,1663705241
